E.  Settlements ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Other land,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Harvested wood products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other       ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Waste,15.19,15.19,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Solid waste disposal ,10.55,10.55,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Biological treatment of solid waste,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Incineration and open burning of waste,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Waste water treatment and discharge,4.64,4.64,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Other ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.  Other (as specified in summary 1.A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total CH4 emissions without CH4 from LULUCF,27.73,27.73,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total CH4 emissions with CH4 from LULUCF,27.73,27.73,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memo items:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International bunkers,0.02,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navigation,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilateral operations,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 emissions from biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 captured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term storage of C in waste disposal sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect CO2 (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
