TABLE 8  RECALCULATION - RECALCULATED DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recalculated year:,Inventory 1990,
(Sheet 4 of 4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submission 2023 v6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.E.3.  Photovoltaics,,,,,,,,,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,
2.E.4.  Heat transfer fluid,,,,,,,,,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,
2.E.5.  Other (as specified in table 2(II)),NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,
2.F.1.  Refrigeration and air conditioning,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.F.2.  Foam blowing agents,"NO,NE","NO,NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.F.3.  Fire protection,"NO,NE","NO,NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.F.4.  Aerosols,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,
2.F.5.  Solvents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.F.6.  Other applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.G.1.  Electrical equipment,,,,,,,,,,,,,2.73,2.73,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
2.G.2.  SF6 and PFCs from other product use,,,,,,,NO,NO,,,,,NO,NO,,,,,,,,,,,,,,,,,
2.G.4.  Other,,,,,,,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
2.H.   Other,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,NO,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Previous submission,Latest submission,Difference,Difference(1),,,,,,,,,,,,,,,,,,,,,,,,,
,,,CO2 equivalent (kt),,,(%),,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions with land use, land-use change and forestry",,,5271.52,5418.66,147.14,2.79,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions without land use, land-use change and forestry",,,5576.49,5571.73,-4.76,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1) Estimate the percentage change due to recalculation with respect to the previous submission (percentage change = 100 x [(LS-PS)/PS], where LS = latest submission and PS = previous submission. All cases of recalculation of the estimate of the source/sink category should be addressed and explained in the NIR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2) Total emissions refer to total aggregate GHG emissions expressed in terms of CO2 equivalent, excluding GHGs from the LULUCF sector. The impact of the recalculation on the total emissions is calculated as follows:  impact of recalculation (%) = 100 x [(source (LS) - source (PS))/total emissions (LS)], where LS = latest submission, PS = previous submission.",,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,
"(3) Total emissions refer to total aggregate GHG emissions expressed in terms of CO2 equivalent, including GHGs from the LULUCF sector. The impact of the recalculation on the total emissions is calculated as follows:  impact of recalculation (%) = 100 x [(source (LS) - source (PS))/total emissions (LS)], where LS = latest submission, PS = previous submission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)  Net CO2 emissions/removals to be reported.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box:  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parties should provide detailed information on recalculations in Chapter 10: Recalculations and Improvements, and in the relevant sections of Chapters 3 to 8 (see section 2.5 of each of Chapters 3 - 8) of the national inventory report (NIR).   Use this documentation box to provide references to relevant sections of the NIR if any additional information and further details are needed to understand the content of this table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"References should point particularly to the sections of the NIR in which justifications of the changes as to improvements in accuracy, completeness and consistency of the inventory are reported.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
