C.  Metal industry,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Non-energy products from fuels and solvent use,4.19,4.19,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Electronic industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Product uses as ODS substitutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Other product manufacture and use ,IE,IE,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Agriculture,1.82,1.82,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Enteric fermentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Manure management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Rice cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Agricultural soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Prescribed burning of savannas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Field burning of agricultural residues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Liming,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Urea application,1.82,1.82,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.  Other carbon-containing fertilizers,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.  Other ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Land use, land-use change and forestry (2)",-153.13,-153.13,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Forest land,1.46,1.46,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Cropland,-134.24,-134.24,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Grassland,-23.05,-23.05,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Wetlands,"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Settlements ,0.46,0.46,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Other land,0.11,0.11,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Harvested wood products,2.14,2.14,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other       ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Waste,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Solid waste disposal ,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Biological treatment of solid waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Incineration and open burning of waste,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Waste water treatment and discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Other ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.  Other (as specified in summary 1.A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memo items: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International bunkers,900.89,900.89,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation,718.10,718.10,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navigation,182.79,182.79,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilateral operations,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 emissions from biomass,30.50,30.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 captured,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term storage of C in waste disposal sites,NE,NE,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect CO2 (3),5.21,5.21,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions without land use, land-use change and forestry",4644.86,4644.86,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions with land use, land-use change and forestry",4491.73,4491.73,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions, including indirect CO2,  without land use, land-use change and forestry",4650.07,4650.07,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions, including indirect CO2,  with land use, land-use change and forestry",4496.94,4496.94,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
