TABLE 1.A(a)  SECTORAL BACKGROUND DATA  FOR  ENERGY,,,,,,,,,Inventory 1990
Fuel combustion activities - sectoral approach,,,,,,,,,Submission 2023 v6
(Sheet 2 of 4),,,,,,,,,CYPRUS
,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,AGGREGATE ACTIVITY DATA,,IMPLIED EMISSION FACTORS,,,EMISSIONS,,,
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),NO,NCV,NO,NO,NO,NO,NO,NO,NO
c.  Chemicals,29.68,NCV,,,,2.20,0.00,0.00,NO
Liquid fuels,29.68,NCV,74.10,3.00,0.60,2.20,0.00,0.00,NO
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,NO
"d.  Pulp, paper and print",62.28,NCV,,,,4.82,0.00,0.00,NO
Liquid fuels,62.28,NCV,77.40,3.00,0.60,4.82,0.00,0.00,NO
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,NO
"e.  Food processing, beverages and tobacco",965.19,NCV,,,,72.57,0.00,0.00,NO
Liquid fuels,965.19,NCV,75.19,2.73,0.53,72.57,0.00,0.00,NO
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,NO
f.  Non-metallic minerals,4308.25,NCV,,,,379.83,0.03,0.00,NO
Liquid fuels,1805.65,NCV,82.01,2.95,0.59,148.09,0.01,0.00,NO
Solid fuels,2502.60,NCV,92.60,10.00,1.50,231.74,0.03,0.00,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,NO
g. Other (please specify)(9),501.84,NCV,,,,38.01,0.00,0.00,NO
1.A.2.g.i  Manufacturing of machinery,"NO,IE",,,,,"NO,IE","NO,IE","NO,IE",NO
Liquid Fuels,IE,,"NO,IE",IE,IE,IE,IE,IE,NO
Solid Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other Fossil Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Peat,NO,,NO,NO,NO,NO,NO,NO,NO
Biomass,NO,,NO,NO,NO,NO,NO,NO,NO
1.A.2.g.ii  Manufacturing of transport equipment,"NO,IE",,,,,"NO,IE","NO,IE","NO,IE",NO
Liquid Fuels,IE,,"NO,IE",IE,IE,IE,IE,IE,NO
Solid Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other Fossil Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Peat,NO,,NO,NO,NO,NO,NO,NO,NO
Biomass,NO,,NO,NO,NO,NO,NO,NO,NO
1.A.2.g.iii  Mining (excluding fuels) and quarrying,15.30,NCV,,,,1.13,0.00,0.00,NO
Liquid Fuels,15.30,NCV,74.10,3.00,0.60,1.13,0.00,0.00,NO
Solid Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other Fossil Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Peat,NO,,NO,NO,NO,NO,NO,NO,NO
Biomass,NO,,NO,NO,NO,NO,NO,NO,NO
1.A.2.g.iv  Wood and wood products,"NO,IE",,,,,"NO,IE","NO,IE","NO,IE",NO
Liquid Fuels,IE,,"NO,IE",IE,IE,IE,IE,IE,NO
Solid Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other Fossil Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Peat,NO,,NO,NO,NO,NO,NO,NO,NO
Biomass,NO,,NO,NO,NO,NO,NO,NO,NO
1.A.2.g.v  Construction,148.38,NCV,,,,11.00,0.00,0.00,NO
Liquid Fuels,148.38,NCV,74.10,3.03,0.60,11.00,0.00,0.00,NO
Solid Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other Fossil Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Peat,NO,,NO,NO,NO,NO,NO,NO,NO
Biomass,NO,,NO,NO,NO,NO,NO,NO,NO
1.A.2.g.vi  Textile and leather,"NO,IE",,,,,"NO,IE","NO,IE","NO,IE",NO
Liquid Fuels,IE,,"NO,IE",IE,IE,IE,IE,IE,NO
Solid Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other Fossil Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Peat,NO,,NO,NO,NO,NO,NO,NO,NO
Biomass,NO,,NO,NO,NO,NO,NO,NO,NO
1.A.2.g.viii  Other (please specify),338.16,NCV,,,,25.88,0.00,0.00,NO
Non-specified Industry,338.16,NCV,,,,25.88,0.00,0.00,NO
Liquid Fuels,338.16,NCV,76.53,3.00,0.60,25.88,0.00,0.00,NO
Solid Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other Fossil Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Peat,NO,,NO,NO,NO,NO,NO,NO,NO
Biomass,NO,,NO,NO,NO,NO,NO,NO,NO
,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 4.,,,,,,,,,
