TABLE 3.B(a) SECTORAL BACKGROUND DATA FOR AGRICULTURE,,,,,,,,,,,,Inventory 1990
CH4 Emissions from Manure Management,,,,,,,,,,,,Submission 2023 v6
(Sheet 2 of 2),,,,,,,,,,,,CYPRUS
,,,,,,,,,,,,
Additional information (for Tier 2) (a),,,,,,,,,,,,
Animal category,,Indicator,Climate region,Manure Management Systems (b),,,,,,,,
,,,Goats - Allocation (%) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Goats - MCF (c) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Goats - MCF (c) - Temperate,NO,NO,NO,NE,NO,NO,NO,NO,NO
,,,Goats - MCF (c) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Horses - Allocation (%) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Horses - Allocation (%) - Temperate,NO,NO,NO,100.00,NO,NO,NO,NO,NO
,,,Horses - Allocation (%) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Horses - MCF (c) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Horses - MCF (c) - Temperate,NO,NO,NO,NE,NO,NO,NO,NO,NO
,,,Horses - MCF (c) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Mules and Asses - Allocation (%) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Mules and Asses - Allocation (%) - Temperate,NO,NO,NO,100.00,NO,NO,NO,NO,NO
,,,Mules and Asses - Allocation (%) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Mules and Asses - MCF (c) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Mules and Asses - MCF (c) - Temperate,NO,NO,NO,NE,NO,NO,NO,NO,NO
,,,Mules and Asses - MCF (c) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Poultry - Allocation (%) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Poultry - Allocation (%) - Temperate,NO,NO,NO,100.00,NO,NO,NO,NO,NO
,,,Poultry - Allocation (%) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Poultry - MCF (c) - Cool,NO,NO,NO,NO,NO,NO,NO,,NO
,,,Poultry - MCF (c) - Temperate,NO,NO,NO,NE,NO,NO,NE,NO,NO
,,,Poultry - MCF (c) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
"(a) The information required in this table may not be directly applicable to country-specific methods developed for MCF calculations.  In such cases, information on MCF derivation should be described in the NIR and references to the relevant sections of the NIR should be provided in the documentation box.",,,,,,,,,,,,
,,,,,,,,,,,,
"(b) Animal waste management systems not included in the columns of this table should be reported under ""Other"".",,,,,,,,,,,,
"(c) MCF = Methane Conversion Factor (p. 10.43 of chapter 10, volume 4 of the 2006 IPCC Guidelines).",,,,,,,,,,,,
