(8) Information reported in this table as an information item should be used to check consistency with the estimation in the waste sector.,,,,,,,,
(9) Data on HWP in SWDS may be provided on a voluntary basis. It excludes the carbon in CH4 emissions which is reported in the waste sector.,,,,,,,,
(10) See table 3.4 of volume 5 of the 2006 IPCC Guidelines.,,,,,,,,
(11) Waste subcategories as suggested in chapter 2.3.1 of volume 5 of the 2006 IPCC Guidelines may be used. ,,,,,,,,
"(12) Production approach. Refer to equations 12.1, 12.3 and 12.A.6 of volume 4 of the 2006 IPCC Guidelines or any other IPCC methodological guidance reflecting this approach.",,,,,,,,
"(13) A Party may choose to separately report HWP for domestically produced and consumed, and domestically produced and exported HWP.",,,,,,,,
"(14) Atmospheric flow approach. Refer to equations 12.1, 12.2 and 12.A.4 of volume 4 of the 2006 IPCC Guidelines.",,,,,,,,
,,,,,,,,
Documentation box:,,,,,,,,
Documentation box,,,,,,,,
