TABLE 1.A(a)  SECTORAL BACKGROUND DATA  FOR  ENERGY,,,,,,,,,Inventory 1990
Fuel combustion activities - sectoral approach,,,,,,,,,Submission 2023 v6
(Sheet 4 of 4),,,,,,,,,CYPRUS
,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,AGGREGATE ACTIVITY DATA,,IMPLIED EMISSION FACTORS,,,EMISSIONS,,,
Peat,NO,,NO,NO,NO,NO,NO,NO,NO
Biomass,33.37,NCV,105.30,255.80,2.67,3.51,0.01,0.00,NO
b.  Residential(13),4424.32,NCV,,,,299.70,0.08,0.00,NO
Liquid fuels,4283.19,NCV,69.97,8.25,0.42,299.70,0.04,0.00,NO
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),141.13,NCV,102.30,289.55,3.69,14.44,0.04,0.00,NO
1.A.4.b.iii  Other (please specify),4424.32,NCV,,,,299.70,0.08,0.00,NO
Residential,4424.32,NCV,,,,299.70,0.08,0.00,NO
Liquid Fuels,4283.19,NCV,69.97,8.25,0.42,299.70,0.04,0.00,NO
Solid Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other Fossil Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Peat,NO,,NO,NO,NO,NO,NO,NO,NO
Biomass,141.13,NCV,102.30,289.55,3.69,14.44,0.04,0.00,NO
c.  Agriculture/forestry/fishing,755.15,NCV,,,,55.48,0.01,0.00,NO
Liquid fuels,755.15,NCV,73.47,9.72,0.57,55.48,0.01,0.00,NO
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),"NO,IE",,"NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE",NO
i. Stationary,666.12,NCV,,,,48.89,0.01,0.00,NO
Liquid fuels,666.12,NCV,73.39,9.68,0.57,48.89,0.01,0.00,NO
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,NO
ii. Off-road vehicles and other machinery,"NO,IE",,,,,"NO,IE","NO,IE","NO,IE",
Gasoline,IE,,IE,IE,IE,IE,IE,IE,
Diesel oil,IE,,IE,IE,IE,IE,IE,IE,
Liquefied petroleum gases (LPG),NO,,NO,NO,NO,NO,NO,NO,
Other liquid fuels (please specify),NO,,,,,NO,NO,NO,
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,
Biomass(6),IE,,IE,IE,IE,IE,IE,IE,
Other fossil fuels (please specify)(4),NO,,,,,NO,NO,NO,
iii. Fishing,89.03,NCV,,,,6.60,0.00,0.00,
Residual fuel oil,NO,,NO,NO,NO,NO,NO,NO,
Gas/diesel oil,89.03,NCV,74.10,10.00,0.60,6.60,0.00,0.00,
Gasoline,IE,,IE,IE,IE,IE,IE,IE,
Other liquid fuels (please specify),NO,,,,,NO,NO,NO,
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,
Biomass(6),IE,,IE,IE,IE,IE,IE,IE,
Other fossil fuels (please specify)(4),NO,,,,,NO,NO,NO,
1.A.5  Other (Not specified elsewhere)(14),148.38,NCV,,,,10.99,0.00,0.00,NO
a. Stationary (please specify),148.38,NCV,,,,10.99,0.00,0.00,NO
Other (not specified elsewhere),148.38,NCV,,,,10.99,0.00,0.00,NO
Liquid Fuels,148.38,NCV,74.10,10.00,0.60,10.99,0.00,0.00,NO
Solid Fuels,NO,NCV,NO,NO,NO,NO,NO,NO,NO
Gaseous Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other Fossil Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Peat,NO,,NO,NO,NO,NO,NO,NO,NO
Biomass,NO,,NO,NO,NO,NO,NO,NO,NO
b. Mobile (please specify),NO,,,,,NO,NO,NO,
1A5b i Mobile (aviation component),NO,,,,,NO,NO,NO,
Liquid Fuels,NO,,NO,NO,NO,NO,NO,NO,
Information item:(15),,,,,,,,,
Waste incineration with energy recovery included as:,,,,,,,,,
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,NO
Fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,NO
,,,,,,,,,
"(1) The implied emission factors (IEFs) for carbon dioxide (CO2) are estimated on the basis of gross emissions, i.e. CO2 emissions + amount captured.",,,,,,,,,
(2) Final CO2 emissions after subtracting the amounts of CO2 captured.,,,,,,,,,
"(3)  If activity data are calculated using net calorific values (NCVs) specified by the IPCC Guidelines, write NCV in this column. If gross calorific values (GCVs) are used, write GCV in this column.",,,,,,,,,
(4) Include information in the documentation box on which fuels are included and provide a reference to the section in the national inventory report (NIR) where further information is provided.,,,,,,,,,
"(5) Although peat is not strictly speaking a fossil fuel, the CO2 emissions from combustion of peat are included in the national emissions as for fossil fuels. See the 2006 IPCC Guidelines, chapter 1 of energy volume, page 1.15.",,,,,,,,,
"(6) Although CO2 emissions from biomass are reported in this table, they will not be included in the total CO2 emissions from fuel combustion. The value for total CO2 from biomass is recorded in table1 sheet 2 under the Memo Items. ",,,,,,,,,
"(7)  If data are available, Parties are encouraged to report at the disaggregated level available from the pre-defined drop-down menu. Furthermore, Parties are encouraged to the extent possible to use the pre-defined category definitions rather than to create similar categories. This ensures the highest possible degree of comparability of the reporting. If detailed data are not available, Parties should include all emissions from public electricity and heat production here.",,,,,,,,,
"(8)  If data are available, Parties are encouraged to report at the disaggregated level available from the pre-defined drop-down menu. Furthermore, Parties are encouraged to the extent possible to use the pre-defined category definitions rather than to create similar categories. This ensures the highest possible degree of comparability of the reporting. If detailed data are not available, Parties should include all emissions from manufacture of solid fuels and other energy industries here.",,,,,,,,,
"(9)  If data are available, Parties are encouraged to report at the disaggregated level available from the pre-defined drop-down menu. Furthermore, Parties are encouraged to the extent possible to use the pre-defined category definitions rather than to create similar categories. This ensures the highest possible degree of comparability of the reporting. If detailed data are not available, Parties should include all emissions from manufacturing industries and construction not included in subcategories 1.A.2.a-1.A.2.f here.",,,,,,,,,
(10)  Domestic aviation and navigation should not include emissions from military aviation and navigation. The emissions from military mobile sources should be reported under category 1.A.5.b.,,,,,,,,,
(11) Emissions from the use of urea as a catalyst are to be reported under category 2.D.3.,,,,,,,,,
"(12)  If data are available, Parties are encouraged to report at the disaggregated level available from the pre-defined drop-down menu. Furthermore, Parties are encouraged to the extent possible to use the pre-defined category definitions rather than to create similar categories. This ensures the highest possible degree of comparability of the reporting. ",,,,,,,,,
"(13)  If data are available, Parties are encouraged to report at the disaggregated level available from the pre-defined drop-down menu. Furthermore, Parties are encouraged to the extent possible to use the pre-defined category definitions rather than to create similar categories. This ensures the highest possible degree of comparability of the reporting. ",,,,,,,,,
(14)   Include military fuel use under this category.,,,,,,,,,
(15) “Information item” data are included to allow cross-sectoral and cross-fuel checks for activity data and emissions. Details on the actual amounts reported for the subcategories and fuels should be included in the NIR.,,,,,,,,,
Documentation Box,,,,,,,,,
• Parties should provide detailed explanations on the fuel combustion subsector in the corresponding part of chapter 3: energy (CRF subsector 1.A) of the NIR.  Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.  ,,,,,,,,,
"• If estimates are based on GCVs, use this documentation box to provide reference to the relevant section of the NIR where the information necessary for the calculation of the activity data based on NCVs can be found. ",,,,,,,,,
"• If some derived gases (e.g. gas works gas, coke oven gas, blast furnace gas) are considered, use this documentation box to provide a reference to the relevant section of the NIR containing the information on the allocation of these derived gases under the above fuel categories (liquid, solid, gaseous, biomass and other fuels).",,,,,,,,,
Documentation box,"1.AA/1990: included in 1A3b 
1.AA: 
1.A.1.c.iv 1.A.1.c.iv  Other (: 
1.A.2.a Liquid Fuels: According to information provided by the national Statistical Service, fuel consumption for Iron and Steel production (1A2a) is included in non-ferrous metals production (1A2b)
1.A.2.b Liquid Fuels: Fuel consumption in 2013 according to the national statistical service is 0. Therefore respective cell is left empty.
1.A.2.f Other Fossil Fuel: This type of fuel, includes the non-biomass fraction of waste, since there is no other fuel category available that is more appropriate.
1.A.3.b.ii: due to unavailability of data, all fuel consumption is included in cars (1A3b(i))
1.A.3.b.ii Gasoline: due to unavailability of data, all fuel consumption is included in cars (1A3b(i))
1.A.3.b.ii Diesel Oil: due to unavailability of data, all fuel consumption is included in cars (1A3b(i))
1.A.3.b.ii Biomass: due to unavailability of data, all fuel consumption is included in cars (1A3b(i))
1.A.3.b.iii: due to unavailability of data, all fuel consumption is included in cars (1A3b(i))
1.A.3.b.iii Gasoline: due to unavailability of data, all fuel consumption is included in cars (1A3b(i))
1.A.3.b.iii Diesel Oil: due to unavailability of data, all fuel consumption is included in cars (1A3b(i))
1.A.3.b.iii Biomass: due to unavailability of data, all fuel consumption is included in cars (1A3b(i))
1.A.3.b.iv: due to unavailability of data, all fuel consumption is included in cars (1A3b(i))
1.A.3.b.iv Gasoline: due to unavailability of data, all fuel consumption is included in cars (1A3b(i))
1.A.3.b.iv Biomass: due to unavailability of data, all fuel consumption is included in cars (1A3b(i))
1.A.3.d: Included Elsewere (in 1A3b)
1.A.4.c.ii Gasoline: Due to unavailability of data,all fuel consumption is included in cars (A3b(i) - Cars). 
1.A.4.c.ii Diesel Oil: Due to unavailability of data, all fuel consumption is included in cars (A3b(i) - Cars).
1.A.4.c.ii Biomass: Due to unavailability of data, all data fuel consumption is included in cars (A3b(i) - Cars).
1.A.4.c.iii Gas/Diesel Oil: Due to unavailability of data all fuel consumption is included in cars (A3b(i) - Cars).
1.A.4.c.iii Gasoline: Due to unavailability of data all fuel consumption is included in cars (A3b(i) - Cars).
1.A.4.c.iii Biomass: Due to unavailability of data all fuel consumption is included in cars (A3b(i) - Cars).",,,,,,,,
