"TABLE 4.F  SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,,,,,,,,Inventory 1990,,
Other land,,,,,,,,,,,,,,,,,Submission 2023 v3,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,NEW ZEALAND,,
,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED CARBON-STOCK-CHANGE FACTORS,,,,,,CHANGES IN CARBON STOCK AND NET CO2 EMISSIONS/REMOVALS FROM SOILS,,,,,,Net CO2 emissions/ removals(4) (5),,
Land-use category,Subdivision(1),"Total area(2)
(kha)","Area of mineral soil
(kha)","Area of organic soil
(kha)",Carbon stock change in living biomass per area(3) (4),,,Net carbon stock change in dead organic matter per area(4),Net carbon stock change in soils per area(4),,Carbon stock change in living biomass(3) (4),,,Net carbon stock change in dead organic matter(4),Net carbon stock change in soils(4),,,,
Post-1989 natural forest converted to other land,Post-1989 natural forest converted to other land,NO,NO,NO,NA,NO,NO,NO,NO,NO,NA,0.00,0.00,0.00,NO,NO,0.00,,
2.2 Cropland converted to other land,,0.00,0.00,NO,NA,-13.17,-13.17,0.00,-1.53,NO,NA,-0.01,-0.01,0.00,-0.00,NO,0.05,,
Annual cropland converted to other land,Annual cropland converted to other land,0.00,0.00,NO,NA,-5.00,-5.00,0.00,-1.57,NO,NA,-0.00,-0.00,0.00,-0.00,NO,0.01,,
Perennial cropland converted to other land,Perennial cropland converted to other land,0.00,0.00,NO,NA,-18.76,-18.76,0.00,-1.50,NO,NA,-0.01,-0.01,0.00,-0.00,NO,0.04,,
2.3 Grassland converted  to other land,,0.12,0.12,NO,NA,-5.07,-5.07,-0.08,-2.32,NO,NA,-0.61,-0.61,-0.01,-0.28,NO,3.29,,
High producing grassland converted to other land,High producing grassland converted to other land,0.03,0.03,NO,NA,-6.34,-6.34,0.00,-2.35,NO,NA,-0.22,-0.22,0.00,-0.08,NO,1.11,,
Low producing grassland converted to other land,Low producing grassland converted to other land,0.07,0.07,NO,NA,-2.87,-2.87,0.00,-2.38,NO,NA,-0.20,-0.20,0.00,-0.17,NO,1.35,,
Grassland with woody biomass converted to other land,Grassland with woody biomass converted to other land,0.02,0.02,NO,NA,-12.40,-12.40,-0.65,-1.99,NO,NA,-0.19,-0.19,-0.01,-0.03,NO,0.83,,
2.4 Wetlands converted to other land,,0.00,0.00,NO,NA,-22.65,-22.65,0.00,-3.61,"NO,NE",NA,-0.09,-0.09,0.00,-0.01,"NO,NE",0.37,,
Open water converted to other land,Open water converted to other land,0.00,0.00,NO,NA,0.00,0.00,0.00,-2.38,NO,NA,0.00,0.00,0.00,-0.00,NO,0.01,,
Vegetated wetland converted to other land,Vegetated wetland converted to other land,0.00,0.00,NO,NA,-27.62,-27.62,0.00,-3.88,NE,NA,-0.09,-0.09,0.00,-0.01,NE,0.37,,
2.5 Settlements converted to other land,,0.00,0.00,NO,NA,0.00,0.00,0.00,-2.38,NO,NA,0.00,0.00,0.00,-0.00,NO,0.00,,
Settlements converted to other land,Settlements converted to other land,0.00,0.00,NO,NA,0.00,0.00,0.00,-2.38,NO,NA,0.00,0.00,0.00,-0.00,NO,0.00,,
.,,,,,,,,,,,,,,,,,,,
"(1)   Land categories may be further divided according to climate zone, management system, soil type, including whether the soil is drained, rewetted or categorized as other, vegetation type, tree species, ecological zone or national land classification. When Parties estimate emissions and removals or carbon stock change on dry and wet soils separately, they are encouraged to use this column to provide this disaggregation. ",,,,,,,,,,,,,,,,,,,
"(2) The total area of the subcategories, in accordance with the subdivision used, should be entered here. For lands converted to Other land report the cumulative area remaining in the category in the reporting year. The total area should equal the area of mineral soil plus the area of organic soil by subcategory. ",,,,,,,,,,,,,,,,,,,
"(3)  Carbon stock gains and losses should be listed separately except in cases where, due to the methods used, it is technically impossible to separate information on gains and losses.  ",,,,,,,,,,,,,,,,,,,
(4) The signs for estimates of gains in carbon stocks are positive (+) and of losses in carbon stocks are negative (–).  ,,,,,,,,,,,,,,,,,,,
"(5) Where Parties directly estimate emissions and removals rather than carbon stock changes, they may report emissions/removals directly in this column and use notation keys in the stock change columns.",,,,,,,,,,,,,,,,,,,
"(6)  This land-use category is to allow the total of identified land area to match the national area.  It includes bare soil, rock, ice and all land areas that do not fall into any other of the other five land-use categories.",,,,,,,,,,,,,,,,,,,
"(7) A Party may report aggregated estimates for all land conversions to other land, when data are not available to report them separately. A Party should specify in the documentation box which types of land conversion are included.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Documentation box:,,,,,,,,,,,,,,,,,,,
"Parties should provide detailed explanations on the land use, land-use change and forestry sector in chapter 6: Land Use, Land-Use Change and Forestry (CRF sector 4) of the national inventory report (NIR). Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,
