"TABLE  4.E  SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,,,,,,,,Inventory 1990,,,,,,,,,,,,,,,,
Settlements,,,,,,,,,,,,,,,,,Submission 2023 v3,,,,,,,,,,,,,,,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,NEW ZEALAND,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED CARBON-STOCK-CHANGE FACTORS,,,,,,CHANGES IN CARBON STOCK AND NET CO2 EMISSIONS/REMOVALS FROM SOILS,,,,,,Net CO2 emissions/ removals(4) (5),,,,,,,,,,,,,,,,
Land-use category,Subdivision(1),"Total area(2)
(kha)","Area of mineral soil
(kha)","Area of organic soil
(kha)",Carbon stock change in living biomass per area(3) (4),,,Net carbon stock change in dead organic matter per area(4),Net carbon stock change in soils per area(4),,"Carbon stock change in living biomass(3), (4)",,,Net carbon stock change in dead organic matter(4),Net carbon stock change in soils(4),,,,,,,,,,,,,,,,,,
Post-1989 forest converted to settlements,Post-1989 forest converted to settlements,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,
Post-1989 natural forest converted to settlements,Post-1989 natural forest converted to settlements,NO,NO,NO,NO,NO,NO,NO,NO,NE,NO,NO,NO,0.00,NO,NE,0.00,,,,,,,,,,,,,,,,
2.2 Cropland converted to settlements,,6.64,6.63,0.00,NA,-0.15,-0.15,0.00,0.81,-10.00,NA,-1.00,-1.00,0.00,5.39,-0.01,-16.03,,,,,,,,,,,,,,,,
Annual cropland converted to settlements,Annual cropland converted to settlements,6.50,6.50,0.00,NA,-0.02,-0.02,0.00,0.81,-10.00,NA,-0.13,-0.13,0.00,5.27,-0.01,-18.81,,,,,,,,,,,,,,,,
Perennial cropland converted to settlements,Perennial cropland converted to settlements,0.13,0.13,0.00,NA,-6.49,-6.49,0.00,0.88,-10.00,NA,-0.87,-0.87,0.00,0.12,-0.01,2.79,,,,,,,,,,,,,,,,
2.3 Grassland converted to settlements,,8.11,8.09,0.02,NA,-0.74,-0.74,-0.00,0.02,-10.00,NA,-5.98,-5.98,-0.03,0.19,-0.21,22.11,,,,,,,,,,,,,,,,
High producing grassland converted to settlements,High producing grassland converted to settlements,5.33,5.31,0.02,NA,-0.98,-0.98,0.00,0.03,-10.00,NA,-5.20,-5.20,0.00,0.17,-0.20,19.17,,,,,,,,,,,,,,,,
Low producing grassland converted to settlements,Low producing grassland converted to settlements,2.74,2.74,0.00,NA,-0.10,-0.10,0.00,0.00,-10.00,NA,-0.27,-0.27,0.00,0.00,-0.01,1.04,,,,,,,,,,,,,,,,
Grassland with woody biomass converted to settlements,Grassland with woody biomass converted to settlements,0.04,0.04,0.00,NA,-12.40,-12.40,-0.65,0.39,-10.00,NA,-0.50,-0.50,-0.03,0.02,-0.00,1.89,,,,,,,,,,,,,,,,
2.4 Wetlands converted to settlements,,0.00,0.00,0.00,NA,-22.77,-22.77,0.00,-1.18,-8.22,NA,-0.05,-0.05,0.00,-0.00,-0.00,0.21,,,,,,,,,,,,,,,,
Open water converted to settlements,Open water converted to settlements,0.00,0.00,NO,NA,0.00,0.00,0.00,0.00,NO,NA,0.00,0.00,0.00,0.00,NO,0.00,,,,,,,,,,,,,,,,
Vegetated wetland converted to settlements,Vegetated wetland converted to settlements,0.00,0.00,0.00,NA,-27.62,-27.62,0.00,-1.50,-8.22,NA,-0.05,-0.05,0.00,-0.00,-0.00,0.21,,,,,,,,,,,,,,,,
2.5 Other Land converted to settlements,,0.01,0.01,0.00,NA,0.00,0.00,0.00,2.38,-10.00,NA,0.00,0.00,0.00,0.02,-0.00,-0.08,,,,,,,,,,,,,,,,
Other land converted to settlements,Other land converted to settlements,0.01,0.01,0.00,NA,0.00,0.00,0.00,2.38,-10.00,NA,0.00,0.00,0.00,0.02,-0.00,-0.08,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1)   Land categories may be further divided according to climate zone, management system, soil type, including whether the soil is drained, rewetted or categorized as other, vegetation type, tree species, ecological zone or national land classification.  When Parties estimate emissions and removals or carbon stock change on dry and wet soils separately, they are encouraged to use this column to provide this disaggregation. When a Party reports emissions and removals from coastal wetlands areas that are not part of the total land area of the country, a Party may use appropriate subcategories for indicating whether the emissions and removals come from areas included or excluded from the total land area of the country.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2) The total area of the subcategories, in accordance with the subdivision used, should be entered here.  For lands converted to settlements report the cumulative area remaining in the category in the reporting year. The total area should equal the area of mineral soil plus the area of organic soil by subcategory. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3)  Carbon stock gains and losses should be listed separately except in cases where, due to the methods used, it is technically impossible to separate information on gains and losses.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)  The signs for estimates of gains in carbon stocks are positive (+) and of losses in carbon stocks are negative (–).  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(5) Where Parties directly estimate emissions and removals rather than carbon stock changes, they may report emissions/removals directly in this column and use notation keys in the stock change columns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parties should provide detailed explanations on the land use, land-use change and forestry sector in Chapter 6: Land Use, Land-Use Change and Forestry (CRF sector 4) of the national inventory report (NIR). Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
