TABLE 3.B(b) SECTORAL BACKGROUND DATA FOR AGRICULTURE,,,,,,,,,,,,,,,,,,,,,Inventory 1990
N2O Emissions from Manure Management,,,,,,,,,,,,,,,,,,,,,Submission 2023 v3
(Sheet 1 of 1),,,,,,,,,,,,,,,,,,,,,NEW ZEALAND
,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE ,ACTIVITY DATA  AND  OTHER  RELATED  INFORMATION,,,,,,,,,,,,,,,IMPLIED EMISSION FACTORS (IEF),,,EMISSIONS,,
AND SINK CATEGORIES,Population size,Nitrogen excretion rate                       ,Typical animal mass (average),Nitrogen excretion per manure management system (MMS)  (kg N/yr)         ,,,,,,,,,Total N excreted,Total N volatilised as NH3 and NOX(4),N lost through leaching and run-off ,Emission factor per animals,,,N2O,,
"(3) This could include pit storage, deep bedding, poultry manure with and without litter, aerobic treatment.",,,,,,,,,,,,,,,,,,,,,
"(4)  Total nitrogen (N) volatilized does not include N volatilized from manure deposited in pasture, range and paddock systems.",,,,,,,,,,,,,,,,,,,,,
(5)   Option C should be used when Parties want to report a more disaggregated livestock categorization compared with option A and option B. ,,,,,,,,,,,,,,,,,,,,,
"(6)   If data are available, Parties are encouraged to report at the disaggregated level available from the pre-defined drop-down menu. Furthermore, Parties are encouraged to the extent possible to use the pre-defined category definitions rather than to create similar categories. This ensures the highest possible degree of comparability of the reporting. If detailed data are not available, Parties should include all emissions from other livestock not included in subcategories 3.B.1-3.B.3 under other (please specify).",,,,,,,,,,,,,,,,,,,,,
(7)   This could include fox and raccoon and mink and polecat.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Documentation box: ,,,,,,,,,,,,,,,,,,,,,
• Parties should provide detailed explanations on the agriculture sector in chapter 5: Agriculture (CRF sector 3) of the national inventory report (NIR). Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.,,,,,,,,,,,,,,,,,,,,,
"• Provide a reference to the relevant section in the NIR, in particular with regard to: ",,,,,,,,,,,,,,,,,,,,,
          (a) Disaggregation of livestock population (e.g. according to the classification recommended in the 2006 IPCC Guidelines);,,,,,,,,,,,,,,,,,,,,,
"          (b) Information on other MMS, if reported. ",,,,,,,,,,,,,,,,,,,,,
Documentation box,"3.B.2/1990: According to the footnote 6 to the paragraph 37(b) of the UNFCCC reporting GLs, this category is not mandatory for reporting.The IPCC (2006) guidelines for determining indirect N2O emissions does not provide a methodology for estimating emissions from leaching and run-off. In addition, indirect N2O emissions from leaching and run-off are insigificant in New Zealand, as almost all livestock are kept outdoors all year around on pasture.  
3.B.2/1990: The notation key 'NO' is used up to 2006 because there were no buffalo recorded in New Zealand before 2007.  A small herd of around 200 buffalo were brought into NZ around 2007 for specialised cheese and dairy production. These buffalo are reported within the dairy herd so the notation key 'IE' is used from 2007 onwards. For more information see section 5.1.4 of the NIR (minor livestock categories) 
3.B.2/1990: N2O emissions from goats are reported in the agricultural soils category (CRF 3.D.1.3). For more information see sections 5.3.2 (Direct nitrous oxide emissions from manure management) and 5.5.2 (urine and dung deposited by grazing animals) of the NIR.  In the case of NMVOC emissions, according to the footnote 6 to the paragraph 37(b) of the UNFCCC reporting GLs, this category is not mandatory for reporting. 
3.B.2/1990: Direct and indirect N2O emissions from the manure deposited by sheep are reported under the Agricultural soils category (CRF 3.D.1.3). For more information see sections 5.3.2 (Direct nitrous oxide emissions from manure management) and 5.5.2 (urine and dung deposited by grazing animals) of the NIR. 
3.B.2/1990: Direct nitrous oxide emissions from anaerobic lagoons (dairy and swine) and daily spread (swine), are reported under Agricultural soils. The IPCC GL assume that negligible direct N2O emissions occur in anaerobic lagoons and daily spread, and only occur once the stored effluent is spread onto agricultural soil. For more information see sections 5.3.2 (Direct nitrous oxide emissions from manure management) and 5.5.2 (urine and dung deposited by grazing animals) of the NIR.  According to the footnote 6 to the paragraph 37(b) of the UNFCCC reporting GLs, this category is not mandatory for reporting. 
3.B.2/1990: Direct nitrous oxide emissions from anaerobic lagoons (dairy and swine) and daily spread (swine), are reported under Agricultural soils. The IPCC GL assume that negligible direct N2O emissions occur in anaerobic lagoons and daily spread, and only occur once the stored effluent is spread onto agricultural soil 
3.B.2/1990: IEFs for poultry are affected by the change over time in the population proportions of the different poultry categories used in the inventory. for more information see section 5.1.4 (Minor livestock categories) and section 5.3.2 of the NIR (Nitrogen excretion rates for the minor livestock categories). Emissions from poultry are estimated using tier 1 methods. For more information see section 5.1.4 of the NIR (minor livestock categories).  In the case of NMVOC emissions, according to the footnote 6 to the paragraph 37(b) of the UNFCCC reporting GLs, this category is not mandatory for reporting.
 
3.B.2/1990: Direct and indirect N2O emissions from the manure deposited by non-dairy cattle are reported under the Agricultural soils category (CRF 3.D.1.3). For more information see sections 5.3.2 (Direct nitrous oxide emissions from manure management) and 5.5.2 (urine and dung deposited by grazing animals) of the NIR. 
3.B.2/1990: N2O emissions from mules and asses are reported in the agricultural soils category (CRF 3.D.1.3). For more information see sections 5.3.2 (Direct nitrous oxide emissions from manure management) and 5.5.2 (urine and dung deposited by grazing animals) of the NIR.  In the case of NMVOC emissions, according to the footnote 6 to the paragraph 37(b) of the UNFCCC reporting GLs, this category is not mandatory for reporting. 
3.B.2/1990: Not applicable. No ""other livestock"" ""other"" category recorded 
3.B.2/1990: N2O emissions from horses are reported in the agricultural soils category (CRF 3.D.1.3). For more information see sections 5.3.2 (Direct nitrous oxide emissions from manure management) and 5.5.2 (urine and dung deposited by grazing animals) of the NIR.  In the case of NMVOC emissions, according to the footnote 6 to the paragraph 37(b) of the UNFCCC reporting GLs, this category is not mandatory for reporting. 
3.B.2/1990: Direct and indirect N2O emissions from the manure deposited by deer are reported under the Agricultural soils category (CRF 3.D.1.3). For more information see sections 5.3.2 (Direct nitrous oxide emissions from manure management) and 5.5.2 (urine and dung deposited by grazing animals) of the NIR.  In the case of NMVOC emissions, according to the footnote 6 to the paragraph 37(b) of the UNFCCC reporting GLs, this category is not mandatory for reporting. 
3.B.2/1990: Direct nitrous oxide emissions from anaerobic lagoons (dairy and swine) and daily spread (swine), are reported under Agricultural soils. The IPCC GL assume that negligible direct N2O emissions occur in anaerobic lagoons and daily spread, and only occur once the stored effluent is spread onto agricultural soil. The implied emission factor for pigs is affected by nitrogen excretion rates, which in turn is affected by pig weights. average pig weights have increased significantly since 1990 due to improvements in productivity. for more information see section 5.3.2 of the NIR (Nitrogen excretion rates for the minor livestock categories). Emissions from pigs are estimated using tier 1 methods. For more information see sections section 5.1.4 (minor livestock categories) and 5.3.2 (manure methane from minor livestock categories)of the NIR.  
3.B.2/1990: N2O emissions from alpaca (included in the camels category) are reported in the agricultural soils category (CRF 3.D.1.3). For more information see sections 5.3.2 (Direct nitrous oxide emissions from manure management) and 5.5.2 (urine and dung deposited by grazing animals) of the NIR. There are no middle eastern camels in New Zealand. In the case of NMVOC emissions, according to the footnote 6 to the paragraph 37(b) of the UNFCCC reporting GLs, this category is not mandatory for reporting. 
",,,,,,,,,,,,,,,,,,,,
