"TABLE 2(II) SECTORAL REPORT FOR INDUSTRIAL PROCESSES AND PRODUCT USE - EMISSIONS OF HFCs, PFCs, SF6 AND NF3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inventory 1990,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submission 2023 v3,
"(1)   In accordance with the UNFCCC reporting guidelines, emissions of hydrofluorocarbons (HFCs) and perfluorocarbons (PFCs), unspecified mix of HFCs and PFCs and other fluorinated gases should be reported for each relevant chemical.  However, if it is not possible to report values for each chemical (i.e. owing to mixtures, confidential data, lack of disaggregation), these columns could be used for reporting aggregate figures for HFCs and PFCs, unspecified mix of HFCs and PFCs and fluorinated gases, respectively. Parties should provide information on global warming potential values used in the national inventory review report.  Note that the unit used in these columns is kt of carbon dioxide equivalent (CO2 eq). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)   ODS ozone-depleting substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3)   Total actual emissions equal the sum of the actual emissions of each halocarbon, sulphur hexafluoride (SF6) and nitrogen trifluoride (NF3) from the categories 2.C, 2.E, 2.F, 2.G and 2.H in this table multiplied by the corresponding global warming potential values.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: As stated in the UNFCCC reporting guidelines, Parties should report actual emissions of HFCs, PFCs and SF6, where data are available, providing disaggregated data by chemical and source category in units of mass and in CO2 eq. Parties reporting actual emissions should also report potential emissions for the sources where the concept of potential emissions applies, for reasons of transparency and comparability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• Parties should provide detailed explanations on the industrial processes sector in chapter 4: industrial processes (CRF sector 2) of the NIR.  Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"• If estimates are reported under 2.H  Other, use this documentation box to provide information regarding activities covered under this category and to provide a reference to the section of the NIR where background information can be found. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documenation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
