TABLE 4(KP-I)B.1   SUPPLEMENTARY BACKGROUND DATA ON CARBON STOCK CHANGES AND NET CO2 EMISSIONS AND ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVALS FOR LAND USE, LAND-USE CHANGE AND FORESTRY ACTIVITIES UNDER THE KYOTO PROTOCOL",,,,,,,,,,,,,,,,,,,,,,,,,,,NEW ZEALAND
Article 3.4 activities: Forest management (1),,,,,,,,,,,,,,,,,,,,,,,,,,,Inventory 1990
Harvested and converted,Harvested and converted,,,,,,,,,,,,,,,,,,,,,,,,,,
Land subject to natural disturbances(12),,,,,,,,,,,,,,,,,,,,,,,,,,,
Subtotal ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land subject to natural disturbance in 2013,Land subject to natural disturbance in 2013,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildfire,Wildfire,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parties should provide detailed explanation on the land use, land-use change and forestry sector in the relevant annex of the NIR: Supplementary information on LULUCF activities under the Kyoto Protocol. Use this documentation box to provide references to relevant sections of the NIR if any additional details are needed to understand the content of this table.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1)     For forest management, report here information on anthropogenic carbon stock change for the inventory year for all geographical locations that encompass land subject to forest management under Article 3.4.",,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)    Geographic location refers to the boundaries of the areas that encompass land subject to forest management. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3)      For lands reported as carbon equivalent forest, report here the year in which the land has been either newly established or converted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)      The signs for estimates of gains in carbon stocks are positive (+) and of losses in carbon stocks are negative (-).  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(5)      Carbon stock gains and losses should be listed separately except in cases where, due to the methods used, it is technically impossible to separate information on gains and losses. In that case, net gains should be reported in the ""Gains"" column and net losses should be reported in the ""Losses"" column. The notation key IE should be filled in, in the other column.",,,,,,,,,,,,,,,,,,,,,,,,,,,
(6)     The value reported here is an emission or removal and not a carbon stock change. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
(7)   CO2 emissions from dissolved organic carbon from drained and CO2 emissions/removals from rewetted organic soils may also be included here.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(8)      Data to be reported in this table come from the ""net change"" column of table 4(KP-I)C. A single value for the total net change in the HWP at national level should be reported here. Further, if HWP reporting is based on instantaneous oxidation, then report IO (instantaneous oxidation).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"(9)     For the purposes of reporting, the signs for removals are always negative (-) and for emissions positive (+). Net changes in carbon stocks are converted to CO2 by multiplying C by 44/12 and changing the sign for net CO2 removals to be negative (-) and for net CO2 emissions to be positive (+).",,,,,,,,,,,,,,,,,,,,,,,,,,,
(10)  Total for activity B.1 is the sum of the subtotals below.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(11)  Newly established forest will reach at least the equivalent carbon stock that was contained in the harvested forest plantation at the time of harvest, and, if not, a debit would be generated under Article 3.4.",,,,,,,,,,,,,,,,,,,,,,,,,,,
(12)   Reporting in these rows is required by Parties which apply the provision to exclude emissions from natural disturbances in accordance with paragraphs 33 and 34 in the annex to decision 2/CMP.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,
