6. Tokelau_5. Waste,0.71,0.71,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memo items:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International bunkers,2373.64,2373.64,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation,1332.90,1332.90,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navigation,1040.74,1040.74,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilateral operations,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 emissions from biomass,3937.74,3937.74,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 captured,"NO,IE,NA","NO,IE,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term storage of C in waste disposal sites,2534.78,2534.78,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect N2O,40.81,40.81,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect CO2 (3),"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions without land use, land-use change and forestry",64720.07,64720.07,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions with land use, land-use change and forestry",44548.84,44548.84,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions, including indirect CO2,  without land use, land-use change and forestry",NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions, including indirect CO2,  with land use, land-use change and forestry",NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
