"TABLE 4.B  SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,,,,,,,,Inventory 1990,,
Cropland,,,,,,,,,,,,,,,,,Submission 2023 v3,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,NEW ZEALAND,,
,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED CARBON-STOCK-CHANGE FACTORS,,,,,,CHANGES IN CARBON STOCK AND NET CO2 EMISSIONS/REMOVALS FROM SOILS,,,,,,Net CO2 emissions/ removals(4) (9),,
Land-use category,Subdivision(1),"Total area(2)
(kha)","Area of mineral soil
(kha)","Area of organic soil
(kha)",Carbon stock change in living biomass per area(3) (4),,,Net carbon stock change in dead organic matter per area(4),Net carbon stock change in soils per area(4),,"Carbon stock change in living biomass(3), (4), (6)",,,Net carbon stock change in dead organic matter(4) (7),Net carbon stock change in soils(4) (5) (8) ,,,,
2.1 Forest land converted to cropland . ,,0.00,0.00,NO,1.24,-71.13,-69.89,-29.90,-0.18,NO,0.00,-0.28,-0.27,-0.12,-0.00,NO,1.43,,
Pre-1990 natural forest converted to annual cropland,Pre-1990 natural forest converted to annual cropland,0.00,0.00,NO,5.00,-71.13,-66.13,-29.90,-0.12,NO,0.00,-0.04,-0.03,-0.02,-0.00,NO,0.18,,
Pre-1990 planted forest converted to annual cropland,Pre-1990 planted forest converted to annual cropland,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
Post-1989 forest converted to annual cropland,Post-1989 forest converted to annual cropland,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
Pre-1990 natural forest converted to perennial cropland,Pre-1990 natural forest converted to perennial cropland,0.00,0.00,NO,0.67,-71.13,-70.46,-29.90,-0.19,NO,0.00,-0.24,-0.24,-0.10,-0.00,NO,1.25,,
Pre-1990 planted forest converted to perennial cropland,Pre-1990 planted forest converted to perennial cropland,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
Post-1989 forest converted to perennial cropland,Post-1989 forest converted to perennial cropland,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
Post-1989 natural forest converted to annual cropland,Post-1989 natural forest converted to annual cropland,NO,NO,NO,NA,NO,NO,NO,NO,NO,NA,0.00,0.00,0.00,NO,NO,0.00,,
Post-1989 natural forest converted to perennial cropland,Post-1989 natural forest converted to perennial cropland,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
2.2 Grassland converted to cropland ,,29.81,29.76,0.05,0.40,-0.64,-0.24,-0.00,-0.81,-10.00,11.97,-19.15,-7.18,-0.02,-24.00,-0.51,116.28,,
High producing grassland converted to annual cropland,High producing grassland converted to annual cropland,15.48,15.45,0.03,0.40,-0.51,-0.11,NE,-0.78,-10.00,6.24,-7.92,-1.68,NE,-12.03,-0.31,51.41,,
Low producing grassland converted to annual cropland,Low producing grassland converted to annual cropland,6.10,6.10,NO,0.03,-0.02,0.01,NE,-0.81,NO,0.19,-0.11,0.08,NE,-4.94,NO,17.83,,
Grassland with woody biomass converted to annual cropland,Grassland with woody biomass converted to annual cropland,0.01,0.01,NO,5.00,-12.40,-7.40,-0.65,-0.42,NO,0.03,-0.07,-0.04,-0.00,-0.00,NO,0.17,,
High producing grassland converted to perennial cropland,High producing grassland converted to perennial cropland,5.02,5.00,0.02,0.67,-2.06,-1.39,0.00,-0.84,-10.00,3.36,-10.36,-6.99,0.00,-4.23,-0.18,41.79,,
Low producing grassland converted to perennial cropland,Low producing grassland converted to perennial cropland,3.19,3.18,0.00,0.67,-0.14,0.53,NA,-0.88,-10.00,2.13,-0.45,1.69,NA,-2.79,-0.02,4.12,,
Grassland with woody biomass converted to perennial cropland,Grassland with woody biomass converted to perennial cropland,0.02,0.02,0.00,0.67,-12.40,-11.73,-0.65,-0.49,-10.00,0.01,-0.25,-0.24,-0.01,-0.01,-0.00,0.96,,
2.3 Wetlands converted to cropland,,0.00,0.00,NO,3.66,-26.04,-22.38,0.00,-2.25,NO,0.01,-0.04,-0.04,0.00,-0.00,NO,0.16,,
Open water converted to annual cropland,Open water converted to annual cropland,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
Vegetated wetland converted to annual cropland,Vegetated wetland converted to annual cropland,0.00,0.00,NO,5.00,-27.62,-22.62,NE,-2.31,NO,0.01,-0.03,-0.03,NE,-0.00,NO,0.11,,
Open water converted to perennial cropland,Open water converted to perennial cropland,0.00,0.00,NO,0.67,IE,0.67,NE,-0.88,NO,0.00,IE,0.00,NE,-0.00,NO,0.00,,
Vegetated wetland converted to perennial cropland,Vegetated wetland converted to perennial cropland,0.00,0.00,NO,0.67,-27.62,-26.95,0.00,-2.38,NO,0.00,-0.01,-0.01,0.00,-0.00,NO,0.05,,
2.4 Settlements converted to cropland,,0.00,0.00,NO,0.67,0.00,0.67,0.00,-0.88,NO,0.00,0.00,0.00,0.00,-0.00,NO,0.00,,
Settlements converted to annual cropland,Settlements converted to annual cropland,NO,NO,NO,NA,NO,NO,NO,NO,NO,NA,0.00,0.00,0.00,NO,NO,0.00,,
Settlements converted to perennial cropland,Settlements converted to perennial cropland,0.00,0.00,NO,0.67,IE,0.67,0.00,-0.88,NO,0.00,IE,0.00,0.00,-0.00,NO,0.00,,
2.5 Other land converted to cropland,,NO,NO,NO,"NO,NA",NO,NO,NO,NO,NO,"NO,NA",0.00,0.00,0.00,0.00,NO,0.00,,
Other land converted to annual cropland,Other land converted to annual cropland,NO,NO,NO,NA,NO,NO,NO,NO,NO,NA,0.00,0.00,0.00,0.00,NO,0.00,,
Other land converted to perennial cropland,Other land converted to perennial cropland,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.00,0.00,0.00,0.00,NO,0.00,,
.,,,,,,,,,,,,,,,,,,,
"(1)  Land categories may be further divided according to climate zone, management system, soil type, including whether the soil is drained, rewetted or categorized as other, vegetation type, tree species, ecological zone or national land classification.  When Parties estimate emissions and removals or carbon stock change on dry and wet soils separately, they are encouraged to use this column to provide this disaggregation. When a Party reports emissions and removals from coastal wetlands areas that are not part of the total land area of the country, a Party may use appropriate subcategories for indicating whether the emissions and removals come from areas included or excluded from the total land area of the country.",,,,,,,,,,,,,,,,,,,
"(2) The total area of the subcategories, in accordance with the subdivision used, should be entered here. For lands converted to cropland report the cumulative area remaining in the category in the reporting year. The total area should equal the area of mineral soil plus the area of organic soil by subcategory. ",,,,,,,,,,,,,,,,,,,
"(3)  Carbon stock gains and losses should be listed separately except in cases where, due to the methods used, it is technically impossible to separate information on gains and losses.  ",,,,,,,,,,,,,,,,,,,
(4) The signs for estimates of gains in carbon stocks are positive (+) and for losses in carbon stocks are negative (–).  ,,,,,,,,,,,,,,,,,,,
(5)  Parties who wish to do so may report annual on-site CO2-C emissions/removals and off-site CO2-C emissions from drained and rewetted organic soils here.,,,,,,,,,,,,,,,,,,,
(6)  For category 4.B.1 Cropland remaining cropland this column only includes changes in perennial woody biomass.,,,,,,,,,,,,,,,,,,,
(7)  No reporting on dead organic matter pools is required  for category 4.B.1. Cropland remaining cropland. ,,,,,,,,,,,,,,,,,,,
"(8) When Parties cannot estimate carbon stock changes for organic and mineral soil separately, these should be reported under mineral soils.",,,,,,,,,,,,,,,,,,,
"(9) Where Parties directly estimate emissions and removals rather than carbon stock changes, they may report emissions/removals directly in this column and use notation keys in the stock change columns.",,,,,,,,,,,,,,,,,,,
"(10) A Party may report aggregated estimates for all land conversions to cropland, when data are not available to report them separately. A Party should specify in the documentation box which types of land conversion are included.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Documentation box:,,,,,,,,,,,,,,,,,,,
"Parties should provide detailed explanations on the land use, land-use change and forestry sector in Chapter 6: Land Use, Land-Use Change and Forestry (CRF sector 4) of the national inventory report (NIR). Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,
