"TABLE 4.A   SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,,,,,,,,,,Inventory 1990,
Forest land,,,,,,,,,,,,,,,,,,,Submission 2023 v3,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,,,NEW ZEALAND,
,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED CARBON-STOCK-CHANGE FACTORS,,,,,,,CHANGES IN CARBON STOCK AND NET CO2 EMISSIONS/REMOVALS FROM SOILS,,,,,,,Net CO2 emissions/ removals (4) (7),
Land-use category,Subdivision(1),"Total area(2)
(kha)","Area of mineral soil
(kha)","Area of organic soil
(kha)",Carbon stock change in living biomass per area(3) (4),,,Net carbon stock change in dead wood per area(4),Net carbon stock change in litter per area(4),Net carbon stock change in soils per area(4),,Carbon stock change in living biomass(3) (4),,,Net carbon stock change in dead wood(4),Net carbon stock change in litter(4),Net carbon stock change in soils (4) (5) (6) ,,,
Grassland with woody biomass converted to post-1989 forest,Grassland with woody biomass converted to post-1989 forest,2.84,2.84,0.01,3.02,-12.40,-9.38,0.13,-0.55,-0.32,-0.68,8.58,-35.26,-26.68,0.37,-1.56,-0.89,-0.00,105.51,
High producing grassland converted to post-1989 natural forest,High producing grassland converted to post-1989 natural forest,0.04,0.04,0.00,1.95,-6.34,-4.39,0.02,0.00,-0.67,-0.68,0.08,-0.26,-0.18,0.00,0.00,-0.03,-0.00,0.75,
Low producing grassland converted to post-1989 natural forest,Low producing grassland converted to post-1989 natural forest,0.44,0.44,0.00,1.95,-2.87,-0.92,0.02,0.00,-0.70,-0.68,0.86,-1.26,-0.40,0.01,0.00,-0.31,-0.00,2.58,
Grassland with woody biomass converted to post-1989 natural forest,Grassland with woody biomass converted to post-1989 natural forest,0.49,0.49,0.00,12.40,-12.40,0.00,0.00,0.00,-0.32,-0.68,6.09,-6.09,0.00,0.00,0.00,-0.15,-0.00,0.57,
2.3 Wetlands converted to forest land,,0.03,0.02,0.02,3.01,-26.41,-23.40,0.23,0.00,-2.08,-0.68,0.10,-0.87,-0.77,0.01,0.00,-0.03,-0.01,2.98,
Open water converted to pre-1990 natural forest,Open water converted to pre-1990 natural forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Vegetated wetland converted to pre-1990 natural forest,Vegetated wetland converted to pre-1990 natural forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Open water converted to pre-1990 planted forest,Open water converted to pre-1990 planted forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Vegetated wetland converted to pre-1990 planted forest,Vegetated wetland converted to pre-1990 planted forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Open water converted to post-1989 forest,Open water converted to post-1989 forest,0.00,0.00,NO,3.02,IE,3.02,0.23,NA,-0.70,NO,0.00,IE,0.00,0.00,NA,-0.00,NO,-0.01,
Vegetated wetland converted to post-1989 forest,Vegetated wetland converted to post-1989 forest,0.03,0.02,0.02,3.02,-27.62,-24.60,0.23,NA,-2.21,-0.68,0.10,-0.87,-0.78,0.01,NA,-0.03,-0.01,2.98,
Open water converted to post-1989 natural forest,Open water converted to post-1989 natural forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Vegetated wetland converted to post-1989 natural forest,Vegetated wetland converted to post-1989 natural forest,0.00,0.00,0.00,1.95,-27.62,-25.67,0.02,0.00,-2.21,-0.68,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.01,
2.4 Settlements converted to forest land,,0.00,0.00,NO,2.86,"NE,NO,IE",2.86,0.20,0.00,-0.70,NO,0.00,"NE,NO,IE",0.00,0.00,0.00,-0.00,NO,-0.00,
Settlements converted to pre-1990 natural forest,Settlements converted to pre-1990 natural forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Settlements converted to pre-1990 planted forest,Settlements converted to pre-1990 planted forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Settlements converted to post-1989 forest,Settlements converted to post-1989 forest,0.00,0.00,NO,3.02,"IE,NE",3.02,0.23,NA,-0.70,NO,0.00,"IE,NE",0.00,0.00,NA,-0.00,NO,-0.00,
Settlements converted to post-1989 natural forest,Settlements converted to post-1989 natural forest,0.00,0.00,NO,1.95,IE,1.95,0.02,0.00,-0.70,NO,0.00,IE,0.00,0.00,0.00,-0.00,NO,-0.00,
2.5 Other land converted to forest land,,0.08,0.08,0.00,2.87,"NE,NO,IE",2.87,0.20,0.00,1.68,-0.68,0.22,"NE,NO,IE",0.22,0.02,0.00,0.13,-0.00,-1.33,
Other land converted to pre-1990 natural forest,Other land converted to pre-1990 natural forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Other land converted to pre-1990 planted forest,Other land converted to pre-1990 planted forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Other land converted to post-1989 forest,Other land converted to post-1989 forest,0.07,0.07,0.00,3.02,"IE,NE",3.02,0.23,NA,1.68,-0.68,0.20,"IE,NE",0.20,0.02,NA,0.11,-0.00,-1.19,
Other land converted to post-1989 natural forest,Other land converted to post-1989 natural forest,0.01,0.01,NO,1.95,IE,1.95,0.02,0.00,1.68,NO,0.02,IE,0.02,0.00,0.00,0.02,NO,-0.14,
.,,,,,,,,,,,,,,,,,,,,
"(1) Land categories may be further divided according to climate zone, management system, soil type, including whether the soil is drained, rewetted or categorized as other, vegetation type, tree species, ecological zone or national land classification.  When Parties estimate emissions and removals or carbon stock change on dry and wet soils separately, they are encouraged to use this column to provide this disaggregation.  When a Party reports emissions and removals from coastal wetlands areas that are not part of the total land area of the country, a Party may use appropriate subcategories for indicating whether the emissions and removals come from areas included or excluded from the total land area of the country.",,,,,,,,,,,,,,,,,,,,
"(2) The total area of the subcategories, in accordance with the subdivision used, should be entered here. For lands converted to forest land report the cumulative area remaining in the category in the reporting year. The total area should equal the area of mineral soil plus the area of organic soil by subcategory. ",,,,,,,,,,,,,,,,,,,,
"(3)  Carbon stock gains and losses should be listed separately except in cases where, due to the methods used, it is technically impossible to separate information on gains and losses.  ",,,,,,,,,,,,,,,,,,,,
(4) The signs for estimates of gains in carbon stocks are positive (+) and of losses in carbon stocks are negative (–).  ,,,,,,,,,,,,,,,,,,,,
"(5) When Parties cannot estimate carbon stock changes for organic and mineral soil separately, these should be reported under mineral soils.",,,,,,,,,,,,,,,,,,,,
(6) Parties who wish to do so may report annual on-site CO2-C emissions/removals and off-site CO2-C emissions from drained and rewetted organic soils here.,,,,,,,,,,,,,,,,,,,,
"(7) Where Parties directly estimate emissions and removals rather than carbon stock changes, they may report emissions/removals directly in this column and use notation keys in the stock change columns.",,,,,,,,,,,,,,,,,,,,
(8) A Party may report aggregated estimates for all conversions of land to forest land when data are not available to report them separately. A Party should specify in the documentation box which types of land conversion are included.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Documentation box:,,,,,,,,,,,,,,,,,,,,
"Parties should provide detailed explanations on the land use, land-use change and forestry sector in Chapter 6: Land Use, Land-Use Change and Forestry (CRF sector 4) of the national inventory report (NIR). Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,,,,,,,,,,,,,,,
Documentation box,4.A.1.i Post-1989 natural fore: ,,,,,,,,,,,,,,,,,,,
Documentation box,"4.A.2.1.i Annual cropland conv: 
4.A.2.1.i Perennial cropland c: 
4.A.2.2.i High producing grass: ",,,,,,,,,,,,,,,,,,,
