6. Tokelau_2. Industrial Processes and Product Use,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
6. Tokelau_3. Agriculture,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
6. Tokelau_5. Waste,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
Total direct N2O emissions without N2O from LULUCF,19.15,19.15,0.00,,,,,,,,,,,,,,,,,,,,,,
Total direct N2O emissions with N2O from LULUCF,20.24,20.24,0.00,,,,,,,,,,,,,,,,,,,,,,
Memo items: ,,,,,,,,,,,,,,,,,,,,,,,,,
International bunkers,0.08,0.08,0.00,,,,,,,,,,,,,,,,,,,,,,
Aviation,0.04,0.04,0.00,,,,,,,,,,,,,,,,,,,,,,
Navigation,0.04,0.04,0.00,,,,,,,,,,,,,,,,,,,,,,
Multilateral operations,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
CO2 emissions from biomass,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 captured,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term storage of C in waste disposal sites,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect N2O,0.14,0.14,0.00,,,,,,,,,,,,,,,,,,,,,,
Indirect CO2 (3),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 6.,,,,,,,,,,,,,,,,,,,,,,,,,
