Degreasing and Drycleaning,Solvent used,0.70,"NO,NA","NO,NA","NO,NA",NA,NO,NA,NO,NA,NO,,,
Printing,Printing ink used,3.06,"NO,NA","NO,NA","NO,NA",NA,NO,NA,NO,NA,NO,,,
Domestic and Commercial Solvent Use,Solvent used,NA,"NO,NA","NO,NA","NO,NA",NA,NO,NA,NO,NA,NO,,,
Urea catalyst in road transport,,NO,NO,"NO,NA","NO,NA",NO,NO,NA,NO,NA,NO,,,
G.  Other product manufacture and use,,,,,,NA,NO,NA,NO,0.34,NO,,,
3.  N2O from product uses,,,,,,,,,,0.34,NO,,,
a. Medical applications,N2O imported,0.33,,,1.03,,,,,0.34,NO,,,
b. Other(7),,,,,,,,,,,,,,
4.  Other ,,,,,,NA,NO,NA,NO,NA,NO,,,
Food and drink,Total production,2625.73,"NO,NA","NO,NA","NO,NA",NA,NO,NA,NO,NA,NO,,,
Pulp and Paper Production,Pulp produced,NA,"NO,NA","NO,NA","NO,NA",NA,NO,NA,NO,NA,NO,,,
Fibreboard Production,Fibreboard produced,442.60,"NO,NA","NO,NA","NO,NA",NA,NO,NA,NO,NA,NO,,,
Particleboard Production,Particleboard produced,123.57,"NO,NA","NO,NA","NO,NA",NA,NO,NA,NO,NA,NO,,,
H.  Other (please specify)(8),,,,,,,,,,,,,,
2.H.3  Other (please specify),,,,,,,,,,,,,,
.,,,,,,,,,,,,,,
"(1)   Where the IPCC Guidelines provide options for activity data (AD), e.g. cement production or clinker production for estimating the emissions from cement production, specify the activity data used (as shown in the example in parentheses) in order to make the choice of emission factor more transparent and to facilitate comparisons of implied emission factors (IEFs). ",,,,,,,,,,,,,,
"(2)   The IEFs are estimated on the basis of gross emissions as follows: IEF = (emissions + amounts recovered, oxidized, destroyed or transformed) / AD. ",,,,,,,,,,,,,,
"(3)   Final emissions are to be reported (after subtracting the amounts of emission recovery, oxidation, destruction or transformation). ",,,,,,,,,,,,,,
"(4)   Amounts of emission recovery, oxidation, destruction or transformation.",,,,,,,,,,,,,,
"(5) If data are available, Parties are encouraged to report at the disaggregated level available from the pre-defined drop-down menu. Furthermore, Parties are encouraged to the extent possible to use the pre-defined category definitions rather than to create similar categories. This ensures the highest possible degree of comparability of the reporting. If detailed data are not available, Parties should include all emissions from non-energy products from fuels  and solvent use not included in subcategories 2.D.1-2.D.2 here.",,,,,,,,,,,,,,
(6) Emissions from urea used as a catalyst should be reported here.,,,,,,,,,,,,,,
"(7) If data are available, Parties are encouraged to report at the disaggregated level available from the pre-defined drop-down menu. Furthermore, Parties are encouraged to the extent possible to use the pre-defined category definitions rather than to create similar categories. This ensures the highest possible degree of comparability of the reporting. If detailed data are not available, Parties should include all emissions from N2O from product uses not included in subcategory G.3.a here.",,,,,,,,,,,,,,
"(8) If data are available, Parties are encouraged to report at the disaggregated level available from the pre-defined drop-down menu. Furthermore, Parties are encouraged to the extent possible to use the pre-defined category definitions rather than to create similar categories. This ensures the highest possible degree of comparability of the reporting. If detailed data are not available Parties should include all emissions from industrial processes not included in subcategories 2.A-2.G here.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Documentation Box:,,,,,,,,,,,,,,
• Parties should provide detailed explanations on the industrial processes sector in chapter 4: industrial processes (CRF sector 2) of the national inventory report (NIR).  Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.,,,,,,,,,,,,,,
"• In relation to metal production, more specific information (e.g. data on virgin and recycled steel production) could be provided in this documentation box, or in the NIR, together with a reference to the relevant section of the NIR.",,,,,,,,,,,,,,
"• Confidentiality: Where only aggregate figures for activity data are provided, e.g. due to reasons of confidentiality, a note indicating this should be provided in this documentation box. ",,,,,,,,,,,,,,
Documentation box,2.A.1: Activity data is confidential as there are only one to two cement producers in New Zealand. ,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,"2.A.3: Activity data confidential as there are only two glass producers in New Zealand.  Emissions aggregated with use of limestone in steel production, and reported in 2.A.4.b",,,,,,,,,,,,,
Documentation box,"2.A.4.b: Soda ash use in glass and aluminium production aggregated for confidentiality. 
2.A.4.d: Limestone use in glass and steel making aggregated for confidentiality.  ",,,,,,,,,,,,,
Documentation box,2.B.1: All ammonia produced is processed into urea. ,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
