"TABLE 4.D   SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,,,,,,,,Inventory 1990,,
Wetlands,,,,,,,,,,,,,,,,,Submission 2023 v3,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,NEW ZEALAND,,
,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED CARBON-STOCK-CHANGE FACTORS,,,,,,CHANGES IN CARBON STOCK AND NET CO2 EMISSIONS/REMOVALS FROM SOILS,,,,,,Net CO2 emissions/ removals(4) (5) (6),,
Land-use category, Subdivision(1),"Total area(2)
(kha)","Area of mineral soil
(kha)","Area of organic soil
(kha)",Carbon stock change in living biomass per area(3) (4),,,Net carbon stock change in dead organic matter per area(4),Net carbon stock change in soils per area(4),,Carbon stock change in living biomass(3) (4),,,Net carbon stock change in dead organic matter(4),Net carbon stock change in soils(4),,,,
Open water remaining open water,Open water remaining open water,517.25,513.56,3.69,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,,
Vegetated wetland remaining vegetated wetland,Vegetated wetland remaining vegetated wetland,233.97,170.34,63.63,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,,
Open water converted to vegetated wetland,Open water converted to vegetated wetland,0.00,0.00,0.00,1.38,NE,1.38,NE,1.50,NO,0.00,NE,0.00,NE,0.00,NO,-0.00,,
Vegetated wetland converted to open water,Vegetated wetland converted to open water,0.02,0.01,0.01,NE,-27.62,-27.62,NE,-1.50,NE,NE,-0.57,-0.57,NE,-0.02,NE,2.14,,
2. Land converted to wetlands(8),,10.00,10.00,0.00,0.00,-0.12,-0.12,-0.02,0.68,0.00,0.02,-1.22,-1.20,-0.15,6.80,0.00,-19.97,,
2.1 Land converted to peat extraction,,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,,
Land converted for peat extraction,Land converted for peat extraction,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,,
2.2 Land converted to flooded land,,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
4.D.2.2.1  Forest land converted to flooded land,,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
Pre-1990 natural forest converted to flooded land,Pre-1990 natural forest converted to flooded land,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
Pre-1990 planted forest converted to flooded land,Pre-1990 planted forest converted to flooded land,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
Post-1989 forest converted to flooded land,Post-1989 forest converted to flooded land,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
Post-1989 natural forest converted to flooded land,Post-1989 natural forest converted to flooded land,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
4.D.2.2.2  Cropland converted to flooded land,,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
Annual cropland converted to flooded land,Annual cropland converted to flooded land,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
Perennial cropland converted to flooded land,Perennial cropland converted to flooded land,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
4.D.2.2.3  Grassland converted to flooded land,,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
High producing grassland converted to flooded land,High producing grassland converted to flooded land,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
Low producing grassland converted to flooded land,Low producing grassland converted to flooded land,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
Grassland with woody biomass converted to flooded land,Grassland with woody biomass converted to flooded land,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
4.D.2.2.4  Settlements converted to flooded land,,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
Settlements converted to flooded land,Settlements converted to flooded land,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
4.D.2.2.5  Other land converted to flooded land,,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
Other land converted to flooded land,Other land converted to flooded land,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,,
2.3 Land converted to other wetlands,,10.00,10.00,0.00,0.00,-0.12,-0.12,-0.02,0.68,0.00,0.02,-1.22,-1.20,-0.15,6.80,0.00,-19.97,,
4.D.2.3.1  Forest land converted to other wetlands,,9.77,9.77,0.00,0.00,-0.04,-0.04,-0.01,0.69,0.00,0.00,-0.34,-0.34,-0.14,6.70,0.00,-22.79,,
Pre-1990 natural forest converted to open water,Pre-1990 natural forest converted to open water,9.77,9.77,0.00,NA,-0.03,-0.03,-0.01,0.69,0.00,NA,-0.34,-0.34,-0.14,6.70,0.00,-22.82,,
Pre-1990 planted forest converted to open water,Pre-1990 planted forest converted to open water,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
Post-1989 forest converted to open water,Post-1989 forest converted to open water,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
Pre-1990 natural forest converted to vegetated wetland,Pre-1990 natural forest converted to vegetated wetland,0.00,0.00,NO,1.38,-71.13,-69.75,-29.90,2.19,NO,0.00,-0.01,-0.01,-0.00,0.00,NO,0.03,,
Pre-1990 planted forest converted to vegetated wetland,Pre-1990 planted forest converted to vegetated wetland,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
Post-1989 forest converted to vegetated wetland,Post-1989 forest converted to vegetated wetland,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
Post-1989 natural forest converted to open water,Post-1989 natural forest converted to open water,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
Post-1989 natural forest converted to vegetated wetland,Post-1989 natural forest converted to vegetated wetland,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
4.D.2.3.2  Cropland converted to other wetlands,,0.00,0.00,NO,0.08,-7.70,-7.63,0.00,0.91,NO,0.00,-0.02,-0.02,0.00,0.00,NO,0.06,,
Annual cropland converted to open water,Annual cropland converted to open water,0.00,0.00,NO,NA,-5.00,-5.00,0.00,0.81,NO,NA,-0.01,-0.01,0.00,0.00,NO,0.03,,
Perennial cropland converted to open water,Perennial cropland converted to open water,0.00,0.00,NO,NA,-18.76,-18.76,NE,0.88,NO,NA,-0.01,-0.01,NE,0.00,NO,0.02,,
Annual cropland converted to vegetated wetland,Annual cropland converted to vegetated wetland,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
Perennial cropland converted to vegetated wetland,Perennial cropland converted to vegetated wetland,0.00,0.00,NO,1.38,-18.76,-17.38,0.00,2.38,NO,0.00,-0.00,-0.00,0.00,0.00,NO,0.01,,
4.D.2.3.3  Grassland converted to other wetlands,,0.20,0.20,0.00,0.08,-4.22,-4.15,-0.04,0.11,"NO,NE",0.02,-0.85,-0.84,-0.01,0.02,"NO,NE",3.02,,
High producing grassland converted to open water,High producing grassland converted to open water,0.05,0.05,0.00,NA,-6.34,-6.34,0.00,0.03,NE,NA,-0.30,-0.30,0.00,0.00,NE,1.09,,
Low producing grassland converted to open water,Low producing grassland converted to open water,0.13,0.13,0.00,NA,-2.87,-2.87,0.00,0.00,NE,NA,-0.39,-0.39,0.00,0.00,NE,1.42,,
Grassland with woody biomass converted to open water,Grassland with woody biomass converted to open water,0.01,0.01,0.00,NA,-12.40,-12.40,-0.65,0.39,NO,NA,-0.11,-0.11,-0.01,0.00,NO,0.42,,
High producing grassland converted to vegetated wetland,High producing grassland converted to vegetated wetland,0.00,0.00,NO,1.38,-6.35,-4.96,0.00,1.54,NO,0.00,-0.01,-0.01,0.00,0.00,NO,0.02,,
Low producing grassland converted to vegetated wetland,Low producing grassland converted to vegetated wetland,0.01,0.01,0.00,1.38,-2.87,-1.49,0.00,1.50,NO,0.01,-0.02,-0.01,0.00,0.01,NO,0.00,,
Grassland with woody biomass converted to vegetated wetland,Grassland with woody biomass converted to vegetated wetland,0.00,0.00,NO,1.38,-12.40,-11.02,-0.65,1.89,NO,0.00,-0.02,-0.02,-0.00,0.00,NO,0.07,,
4.D.2.3.4  Settlements converted to other wetlands,,0.00,0.00,NO,"NA,NO",0.00,0.00,0.00,0.00,NO,"NA,NO",0.00,0.00,0.00,0.00,NO,0.00,,
Settlements converted to open water,Settlements converted to open water,0.00,0.00,NO,NA,0.00,0.00,0.00,0.00,NO,NA,0.00,0.00,0.00,0.00,NO,0.00,,
Settlements converted to vegetated wetland,Settlements converted to vegetated wetland,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
4.D.2.3.5  Other land converted to other wetlands,,0.03,0.03,0.00,0.01,0.00,0.01,0.00,2.39,NO,0.00,0.00,0.00,0.00,0.07,NO,-0.26,,
Other land converted to open water,Other land converted to open water,0.03,0.03,0.00,NA,0.00,0.00,0.00,2.38,NO,NA,0.00,0.00,0.00,0.07,NO,-0.25,,
Other land converted to vegetated wetland,Other land converted to vegetated wetland,0.00,0.00,NO,1.38,NO,1.38,NO,3.88,NO,0.00,NO,0.00,NO,0.00,NO,-0.00,,
.,,,,,,,,,,,,,,,,,,,
"(1) Land categories may be further divided according to climate zone, management system, soil type, including whether the soil is drained, rewetted or categorized as other, vegetation type, tree species, ecological zone or national land classification. When Parties estimate emissions and removals or carbon stock change on dry and wet soils separately, they are encouraged to use this column to provide this disaggregation. When a Party reports emissions and removals from coastal wetlands areas that are not part of the total land area of the country, a Party may use appropriate subcategories for indicating whether the emissions and removals come from areas included or excluded from the total land area of the country.",,,,,,,,,,,,,,,,,,,
"(2) The total area of the subcategories, in accordance with the subdivision used, should be entered here.  For lands converted to wetlands report the cumulative area remaining in the category in the reporting year. The total area should equal the area of mineral soil plus the area of organic soil by subcategory. ",,,,,,,,,,,,,,,,,,,
"(3)  Carbon stock gains and losses should be listed separately except in cases where, due to the methods used, it is technically impossible to separate information on gains and losses.  ",,,,,,,,,,,,,,,,,,,
(4) The signs for estimates of gains in carbon stocks are positive (+) and of losses in carbon stocks are negative (–).  ,,,,,,,,,,,,,,,,,,,
"(5) Where Parties directly estimate emissions and removals rather than carbon stock changes, they may report emissions/removals directly in this column and use notation keys in the stock change columns.",,,,,,,,,,,,,,,,,,,
(6) There is no default methodology for estimating CO2 emissions from flooded land remaining flooded land. ,,,,,,,,,,,,,,,,,,,
(7) Detailed information on Other wetlands should be included in the NIR.,,,,,,,,,,,,,,,,,,,
"(8) A Party may report aggregated estimates for all land conversions to wetlands, when data are not available to report them separately. A Party should specify in the documentation box which types of land conversion are included.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Documentation box:,,,,,,,,,,,,,,,,,,,
"Parties should provide detailed explanations on the land use, land-use change and forestry sector in Chapter 6: Land Use, Land-Use Change and Forestry (CRF sector 4) of the national inventory report (NIR). Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,
