TABLE 1.A(a)  SECTORAL BACKGROUND DATA  FOR  ENERGY,,,,,,,,,Inventory 1990
Fuel combustion activities - sectoral approach,,,,,,,,,Submission 2023 v3
(Sheet 2 of 4),,,,,,,,,NEW ZEALAND
,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,AGGREGATE ACTIVITY DATA,,IMPLIED EMISSION FACTORS,,,EMISSIONS,,,
Other fossil fuels(4),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Biomass(6),NO,GCV,NO,NO,NO,NO,NO,NO,NO
c.  Chemicals,9405.64,GCV,,,,535.47,0.01,0.00,NO
Liquid fuels,154.78,GCV,69.09,5.43,1.11,10.69,0.00,0.00,NO
Solid fuels,NO,GCV,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,9250.87,GCV,56.73,0.90,0.09,524.78,0.01,0.00,NO
Other fossil fuels(4),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Biomass(6),NO,GCV,NO,NO,NO,NO,NO,NO,NO
"d.  Pulp, paper and print",43449.46,GCV,,,,507.21,0.86,0.12,NO
Liquid fuels,721.39,GCV,69.50,6.60,1.17,50.14,0.00,0.00,NO
Solid fuels,1200.17,GCV,91.20,9.50,1.43,109.46,0.01,0.00,NO
Gaseous fuels,6564.98,GCV,52.95,0.90,0.09,347.61,0.01,0.00,NO
Other fossil fuels(4),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Biomass(6),34962.92,GCV,89.47,24.00,3.20,3128.02,0.84,0.11,NO
"e.  Food processing, beverages and tobacco",22624.95,GCV,,,,1663.11,0.13,0.02,NO
Liquid fuels,4001.51,GCV,70.25,6.38,0.83,281.12,0.03,0.00,NO
Solid fuels,10194.01,GCV,92.07,9.50,1.43,938.57,0.10,0.01,NO
Gaseous fuels,8374.50,GCV,52.95,0.90,0.09,443.43,0.01,0.00,NO
Other fossil fuels(4),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Biomass(6),54.93,GCV,52.60,2.86,0.35,2.89,0.00,0.00,NO
f.  Non-metallic minerals,6177.76,GCV,,,,493.03,0.05,0.01,NO
Liquid fuels,655.06,GCV,70.25,5.67,0.69,46.01,0.00,0.00,NO
Solid fuels,4312.11,GCV,88.80,9.50,1.42,382.91,0.04,0.01,NO
Gaseous fuels,1210.60,GCV,52.95,0.90,0.09,64.10,0.00,0.00,NO
Other fossil fuels(4),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Biomass(6),IE,GCV,"NO,IE",IE,IE,IE,IE,IE,NO
g. Other (please specify)(9),17118.29,GCV,,,,1323.78,0.12,0.03,NO
1.A.2.g.i  Manufacturing of machinery,1098.15,GCV,,,,62.96,0.01,0.00,NO
Liquid Fuels,289.55,GCV,66.93,22.69,5.44,19.38,0.01,0.00,NO
Solid Fuels,20.00,GCV,91.20,9.50,1.43,1.82,0.00,0.00,NO
Gaseous Fuels,788.60,GCV,52.95,0.90,0.09,41.76,0.00,0.00,NO
1.A.2.g.iii  Mining (excluding fuels) and quarrying,1697.69,GCV,,,,117.06,0.01,0.00,NO
Liquid Fuels,1361.44,GCV,69.14,3.55,3.28,94.13,0.00,0.00,NO
Solid Fuels,134.17,GCV,91.20,NO,NO,12.24,NO,NO,NO
Gaseous Fuels,202.08,GCV,52.95,0.90,0.09,10.70,0.00,0.00,NO
1.A.2.g.v  Construction,3526.81,GCV,,,,245.01,0.02,0.01,NO
Liquid Fuels,3442.70,GCV,68.94,5.70,3.95,237.34,0.02,0.01,NO
Solid Fuels,84.11,GCV,91.20,9.50,1.43,7.67,0.00,0.00,NO
Gaseous Fuels,NO,GCV,NO,NO,NO,NO,NO,NO,NO
1.A.2.g.vi  Textile and leather,1633.74,GCV,,,,101.17,0.01,0.00,NO
Liquid Fuels,269.02,GCV,71.69,10.99,1.17,19.29,0.00,0.00,NO
Solid Fuels,251.65,GCV,91.20,9.50,1.42,22.95,0.00,0.00,NO
Gaseous Fuels,1113.08,GCV,52.95,0.90,0.09,58.94,0.00,0.00,NO
1.A.2.g.viii  Other (please specify),9161.89,GCV,,,,797.57,0.08,0.01,NO
Other,9161.89,GCV,,,,797.57,0.08,0.01,NO
Liquid Fuels,859.47,GCV,60.88,1.35,0.19,52.33,0.00,0.00,NO
Solid Fuels,8034.17,GCV,90.99,9.50,1.43,731.07,0.08,0.01,NO
Gaseous Fuels,267.80,GCV,52.95,0.90,0.09,14.18,0.00,0.00,NO
Biomass,0.46,GCV,89.47,24.00,3.20,0.04,0.00,0.00,NO
,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 4.,,,,,,,,,
