TABLE 2(II).B-H  SECTORAL BACKGROUND DATA FOR  INDUSTRIAL PROCESSES AND PRODUCT USE,,,,,,,,,,,Inventory 1990
Sources of fluorinated substances,,,,,,,,,,,Submission 2023 v3
(Sheet 2 of 2),,,,,,,,,,,NEW ZEALAND
,,,,,,,,,,,
GREENHOUSE GAS SOURCE,Gas (please specify),ACTIVITY DATA,,,IMPLIED  EMISSION  FACTORS(1),,,EMISSIONS(2),,,
HFC-125,HFC-125,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
HFC-134a,HFC-134a,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2.  Foam blowing agents,,,,,,,,,,,
Closed cells,,,,,,,,,,,
HFC-134a,HFC-134a,NO,NO,NA,NO,NO,NA,NO,NO,NA,NA
HFC-227ea,HFC-227ea,NO,NO,NA,NO,NO,NA,NO,NO,NA,NA
HFC-245fa,HFC-245fa,NO,NO,NA,NO,NO,NA,NO,NO,NA,NA
HFC-365mfc,HFC-365mfc,NO,NO,NA,NO,NO,NA,NO,NO,NA,NA
Open cells,,,,,,,,,,,
3.  Fire protection ,,,,,,,,,,,
HFC-227ea,HFC-227ea,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4.  Aerosols,,,,,,,,,,,
Metered dose inhalers,,,,,,,,,,,
HFC-134a,HFC-134a,NO,NO,,NO,NO,,NO,NO,,NO
HFC-227ea,HFC-227ea,NO,NO,,NO,NO,,NO,NO,,NA
Other (please specify - one row per substance),,,,,,,,,,,
other,,,,,,,,,,,
HFC-43-10mee,HFC-43-10mee,NO,NO,,NO,NO,,NO,NO,,NO
HFC-134a,HFC-134a,NO,NO,,NO,NO,,NO,NO,,NA
HFC-152a,HFC-152a,NO,NO,,NO,NO,,NO,NO,,NO
5.  Solvents,,,,,,,,,,,
6.  Other applications(9) ,,,,,,,,,,,
Emissive,,,,,,,,,,,
Contained,,,,,,,,,,,
G.  Other product manufacture and use,,,,,,,,,,,
1.  Electrical equipment(10),,,,,,,,,,,
SF6,SF6,0.34,31.07,0.33,10.00,0.88,100.00,0.03,0.27,0.33,NO
2.  SF6 and PFCs from other product use(11),,,,,,,,,,,
Military applications ,,,,,,,,,,,
Accelerators,,,,,,,,,,,
Soundproof windows,,,,,,,,,,,
Adiabatic properties: shoes and tyres,,,,,,,,,,,
Other (please specify - one row per substance),,,,,,,,,,,
medical and other product use,,,,,,,,,,,
C2F6,C2F6,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
C3F8,C3F8,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SF6,SF6,NO,0.12,NA,NO,100.00,NA,NO,0.12,NA,NO
4.  Other ,,,,,,,,,,,
Food and drink,,,,,,,,,,,
Pulp and Paper Production,,,,,,,,,,,
Fibreboard Production,,,,,,,,,,,
Particleboard Production,,,,,,,,,,,
H.   Other (please specify) (one row per activity/substance),,,,,,,,,,,
2.H.3  Other (please specify),,,,,,,,,,,
.,,,,,,,,,,,
"NOTE:  In the case of prompt emissions (such as from aerosols, open cells, and some of the solvents), the consumption in the same year should be reported as consumption in new manufactured products and consumption in the previous year -  as in operational stock. Use column for emissions from manufacturing to also report installation emissions.  Use the column for emissions from stock to report emissions from use, leakage, servicing and maintenance.  Disposal emissions could also include emissions from recycling and destruction.",,,,,,,,,,,
,,,,,,,,,,,
(1)    The implied emission factors (IEFs) are estimated on the basis of gross emissions as follows: IEF = emissions  / activity data (AD). ,,,,,,,,,,,
"(2)     Final emissions are to be reported (after subtracting the amounts of emission recovery, oxidation, destruction or transformation).       ",,,,,,,,,,,
"(3)       Amounts of emission recovery, oxidation, destruction or transformation, including from disposal emissions, where applicable.",,,,,,,,,,,
"(4)      Fugitive emissions include emissions from fluorinated gas (F-gas) production. Some of the possible activities include the telomerization process used in the production of fluorochemicals fluids and polymers, photo oxidation of tetrafluoroethylene to make fluorochemical fluids, sulphur hexafluoride (SF6) production, halogen exchange processes to make low-boiling PFCs like C2F6 and CF4, HFC 134a and 245fa, NF3 manufacturing, and production of uranium hexafluoride, of fluorinated monomers (e.g. tetrafluoroethylene and hexafluoropropylene), and of fluorochemical agrochemicals and/or anesthetics.  Both production and handling losses are to be included. ",,,,,,,,,,,
"(5)       According to the 2006 IPCC Guidelines possible SF6 from casting are to be included under Mg production. However, in the current CRF a separate subcategory exists and is reported by Parties. ",,,,,,,,,,,
(6)     Include emissions from cover gases and generated secondary compounds in the Mg foundries.,,,,,,,,,,,
"(7)       Include data for the consumption of the F-gases in the process, i.e. use (filling) during manufacture. The emissions include evaporative losses and by-product emissions.  In the case of by-product emissions, include a separate row and include the information on the relevant AD in the documentation box of the table.",,,,,,,,,,,
"(8)      Could include emissions from micro-electromechanical systems, hard disk drive manufacturing, device testing, and vapour phase reflow soldering.",,,,,,,,,,,
"(9)   Emissions may include HFCs and PFCs used in sterilization equipment, for tobacco expansion applications, as solvents in the manufacture of adhesives, coating and inks.",,,,,,,,,,,
"(10)  Include data on electrical switchgear gas, gas circuit breakers, high voltage gas-insulated lines, outdoor gas-insulated instrument transformers and other equipment.  Emissions and AD from equipment installation onsite should be reported under manufacturing for equipment installed within the country (also if handled by a foreign manufacturer).",,,,,,,,,,,
"(11)  Category includes SF6 and PFCs used in military applications (e.g. in airborne radar systems and heat transfer fluids in high-powered electronic applications), SF6 used in university and research, and PFCs used as heat transfer fluids in commercial and consumer applications, used in cosmetics and in medical applications, and other.",,,,,,,,,,,
,,,,,,,,,,,
Documentation box:,,,,,,,,,,,
• Parties should provide detailed explanations on the industrial processes sector in chapter 4: industrial processes (CRF sector 2) of the national inventory report (NIR).  Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.,,,,,,,,,,,
"• Where only aggregate figures for activity data are provided, e.g. due to reasons of confidentiality (see footnote 1 to table 2(II)), a note indicating this should be provided in this documentation box. ",,,,,,,,,,,
"• Where applying tier 2 and country-specific methods, specify any other relevant activity data used in this documentation box, including a reference to the section of the NIR where more detailed information can be found.",,,,,,,,,,,
"• Use this documentation box for providing clarification on emission recovery, oxidation, destruction and/or transformation, and provide a reference to the section of the NIR where more detailed information can be found.",,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
